energy,cn_ratio,Col3_11,Col3_12,Col3_13,Col3_21,Col3_22,Col3_23,Col3_31,Col3_32,Col3_33,top,mid,btm
-663.372568393036,-0.6968122634853441,0.31137724550898205,0.36826347305389223,0.3203592814371258,0.3524355300859599,0.332378223495702,0.3151862464183381,0.3119533527696793,0.3206997084548105,0.3673469387755102,0.3888888888888889,0.2777777777777778,0.3333333333333333
-662.0533023388954,-0.6984869855109629,0.2776203966005666,0.3371104815864023,0.38526912181303113,0.34,0.3657142857142857,0.29428571428571426,0.38526912181303113,0.29178470254957506,0.32294617563739375,0.4166666666666667,0.2777777777777778,0.3055555555555556
-680.3510987875336,-0.6907058447780261,0.32601880877742945,0.36363636363636365,0.3103448275862069,0.34421364985163205,0.34421364985163205,0.3115727002967359,0.34375,0.3645833333333333,0.2916666666666667,0.3055555555555556,0.3333333333333333,0.3611111111111111
-663.6419247482538,-0.6977757836036151,0.3268698060941828,0.3407202216066482,0.33240997229916897,0.3504273504273504,0.2849002849002849,0.3646723646723647,0.3448275862068966,0.367816091954023,0.28735632183908044,0.3611111111111111,0.2777777777777778,0.3611111111111111
-658.8887209728501,-0.6983455175067333,0.3707865168539326,0.31179775280898875,0.31741573033707865,0.31092436974789917,0.33053221288515405,0.3585434173669468,0.31301939058171746,0.3545706371191136,0.33240997229916897,0.3055555555555556,0.3055555555555556,0.3888888888888889
-679.3441715050144,-0.6933444047010732,0.3241590214067278,0.38837920489296635,0.2874617737003058,0.3724340175953079,0.3284457478005865,0.2991202346041056,0.3381294964028777,0.3669064748201439,0.2949640287769784,0.3055555555555556,0.3611111111111111,0.3333333333333333
-662.7535601102173,-0.6991416858826544,0.2898550724637681,0.3536231884057971,0.3565217391304348,0.34560906515580736,0.3059490084985836,0.34844192634560905,0.3455056179775281,0.3455056179775281,0.3089887640449438,0.3333333333333333,0.2777777777777778,0.3888888888888889
-681.8858046419102,-0.6929214272036764,0.2786377708978328,0.38699690402476783,0.33436532507739936,0.35816618911174786,0.33810888252148996,0.3037249283667622,0.38571428571428573,0.37857142857142856,0.2357142857142857,0.25,0.4166666666666667,0.3333333333333333
-676.7253905776413,-0.6948126433851645,0.28664495114006516,0.34527687296416937,0.36807817589576547,0.3183183183183183,0.35435435435435436,0.32732732732732733,0.36451612903225805,0.35161290322580646,0.2838709677419355,0.5,0.25,0.25
-714.2538274297763,-0.6668811116829645,0.2958579881656805,0.40236686390532544,0.30177514792899407,0.3261390887290168,0.38848920863309355,0.2853717026378897,0.3119266055045872,0.363914373088685,0.3241590214067278,0.20588235294117646,0.4318181818181818,0.3333333333333333
-662.1636218432604,-0.6976863423700571,0.33429394812680113,0.3227665706051873,0.34293948126801155,0.3146067415730337,0.34831460674157305,0.33707865168539325,0.34293948126801155,0.345821325648415,0.3112391930835735,0.3888888888888889,0.3055555555555556,0.3055555555555556
-672.339982937857,-0.6937040588047299,0.3525835866261398,0.3525835866261398,0.2948328267477204,0.3504531722054381,0.32628398791540786,0.32326283987915405,0.3190789473684211,0.3519736842105263,0.32894736842105265,0.4444444444444444,0.25,0.3055555555555556
-659.7652189447257,-0.6975819382977358,0.32386363636363635,0.34375,0.33238636363636365,0.3558823529411765,0.29411764705882354,0.35,0.32142857142857145,0.3269230769230769,0.3516483516483517,0.4166666666666667,0.19444444444444445,0.3888888888888889
-664.9082020706059,-0.6985783811475409,0.31176470588235294,0.3411764705882353,0.34705882352941175,0.31955922865013775,0.34710743801652894,0.3333333333333333,0.34202898550724636,0.3507246376811594,0.3072463768115942,0.3611111111111111,0.3611111111111111,0.2777777777777778
-666.5256356287762,-0.6985345875727906,0.3400576368876081,0.34293948126801155,0.3170028818443804,0.3296398891966759,0.3268698060941828,0.34349030470914127,0.32934131736526945,0.3712574850299401,0.2994011976047904,0.2222222222222222,0.3888888888888889,0.3888888888888889
-664.1473883045797,-0.6978219090326714,0.3247863247863248,0.3333333333333333,0.3418803418803419,0.325,0.35,0.325,0.35398230088495575,0.34513274336283184,0.3008849557522124,0.3055555555555556,0.3611111111111111,0.3333333333333333
-662.5942341126703,-0.6997629876369227,0.32664756446991405,0.34097421203438394,0.332378223495702,0.3278236914600551,0.3085399449035813,0.36363636363636365,0.3258426966292135,0.3707865168539326,0.30337078651685395,0.3333333333333333,0.3611111111111111,0.3055555555555556
